id	target	level	ext	regex	hint
v13-platform-constraints	13	breaking	php	'typo3' *=> *'1[0-2]\.|"typo3/cms-[a-z-]+": *"[^"]*\^1[0-2]\.[0-9]	Require PHP ^8.2 and typo3/cms-core ^13.4; ext_emconf depends typo3 13.4.0-13.4.99
v13-ext-tables-sql-tca-columns	13	breaking	sql	^ *(tstamp|crdate|deleted|hidden|starttime|endtime|sorting|sys_language_uid|l10n_parent|l10n_diffsource|t3ver_[a-z_]+) +(int|tinyint|smallint|varchar|mediumblob|text)	Drop columns TCA auto-creates (ctrl fields and most column types); datetime becomes BIGINT
v13-tca-mm-hasuidfield	14	deprecated	php	MM_hasUidField	Remove MM_hasUidField; MM tables are auto-managed
v13-plugin-list-type	14	deprecated	php	list_type|subtype_value_field|subtypes_addlist|subtypes_excludelist|PLUGIN_TYPE_PLUGIN	Register plugins as own CType (PLUGIN_TYPE_CONTENT_ELEMENT) and ship AbstractListTypeToCTypeUpdate wizard
v13-typoscript-list-type	14	deprecated	typoscript,tsconfig	tt_content\.list\.20\.|list_type *=|CType *= *list|\.list_type	Point rendering/wizard/TCEFORM config to tt_content.<ctype> instead of list/list_type
v13-ncew-show	13	breaking	tsconfig	wizardItems\.[A-Za-z_]+\.show	Use mod.wizards.newContentElement.wizardItems.<group>.removeItems; items auto-register from TCA
v13-allowtableonstandardpages	13	removed	php	allowTableOnStandardPages\(	Set ctrl.security.ignorePageTypeRestriction = true in TCA
v13-getfilefieldtcaconfig	13	removed	php	getFileFieldTCAConfig\(	Use TCA 'type' => 'file' with 'allowed'
v13-tsfe-global	14	deprecated	php	\$GLOBALS\[.TSFE.]|getTypoScriptFrontendController\(|frontend\.controller	Use request attributes frontend.page.information / frontend.typoscript / language / routing
v13-tsfe-fe-user	13	removed	php	->fe_user(->|;| *\))	Use $request->getAttribute('frontend.user') or Context aspect frontend.user
v13-tsfe-cache-tags	14	deprecated	php	(TSFE.]|[Tt]sfe|[Ff]rontendController|Controller\(\))->addCacheTags\(|->getPageCacheTags\(	Use frontend.cache.collector->addCacheTags(new CacheTag(...))
v13-tsfe-hooks	13	removed	php	configArrayPostProc|pageLoadedFromCache|createHashBase|contentPostProc-|tslib_fe-PostProc|hook_eofe|isOutputting	Replace with ModifyTypoScriptConfigEvent / BeforePageCacheIdentifierIsHashedEvent / AfterCacheableContentIsGeneratedEvent / middleware
v13-cobj-hook-interfaces	13	removed	php	ContentObject(PostInit|GetData|StdWrap|GetImageResource|OneSourceCollection)HookInterface|stdWrap_cacheStore|getImgResource.]|cObjTypeAndClass	Replace ContentObjectRenderer hooks with PSR-14 events (AfterGetDataResolvedEvent, AfterImageResourceResolvedEvent, ...)
v13-pagerepository-hooks	13	removed	php	PageRepository(Init|GetPage|GetPageOverlay|GetRecordOverlay)HookInterface|->enableFields\(	Use PageRepository events; replace enableFields() with getDefaultConstraints()
v13-abstractplugin	13	removed	php	Frontend\\Plugin\\AbstractPlugin|extends +AbstractPlugin|pi_getLL\(|pi_linkTP	Rewrite pibase plugin as Extbase plugin or plain USER class with setContentObjectRenderer()
v13-typoscriptparser-templateservice	13	removed	php	TypoScript\\Parser\\TypoScriptParser|TypoScript\\TemplateService|->tmpl->setup	Use frontend.typoscript request attribute or TypoScriptStringFactory
v13-generalutility-gp	13	removed	php	GeneralUtility::_(GP|GET|POST|GPmerged)\(	Read $request->getQueryParams() / getParsedBody()
v13-ts-condition-loginuser	13	removed	typoscript,tsconfig	\[ *(loginUser|usergroup) *\(	Use [frontend.user.isLoggedIn] / [frontend.user.userGroupIds contains N]
v13-include-typoscript	14	deprecated	typoscript,tsconfig	<INCLUDE_TYPOSCRIPT:	Use @import 'EXT:...'
v13-add-page-user-tsconfig	14	deprecated	php	ExtensionManagementUtility::add(Page|User)TSConfig\(|defaultPageTSconfig|defaultUserTSconfig	Move to Configuration/page.tsconfig and Configuration/user.tsconfig
v13-standaloneview	14	deprecated	php	Fluid\\View\\(StandaloneView|TemplateView|AbstractTemplateView)|GenericViewResolver|ViewResolverInterface	Inject ViewFactoryInterface and create(new ViewFactoryData(...))
v13-viewhelper-renderstatic	14	deprecated	php	function +renderStatic *\(|CompileWithRenderStatic|CompileWithContentArgumentAndRenderStatic	Convert to non-static render() using $this->arguments / renderChildren()
v13-viewhelper-tagattributes	14	deprecated	php	registerUniversalTagAttributes\(|registerTagAttribute\(	Remove calls; read pass-through attributes from $this->additionalArguments
v13-renderingcontext-getrequest	14	deprecated	php	renderingContext->getRequest\(|RenderingContext->setRequest\(	Use $renderingContext->getAttribute(ServerRequestInterface::class)
v13-extbase-strict-types	13	breaking	php	protected +\$(defaultViewObjectName|errorMethodName|actionMethodName|uid|pid|_localizedUid|_languageUid)( *=|;)	Match native property/method types of ActionController, AbstractDomainObject etc.; assign in constructor for dual support
v13-extbase-annotations	14	deprecated	php	@(Extbase\\)?(Validate|IgnoreValidation|ORM\\(Lazy|Transient|Cascade)|Inject)([( ]|$)|@TYPO3\\CMS\\Extbase\\Annotation	Convert to PHP attributes (#[Validate], #[Lazy], ...) with TYPO3\CMS\Extbase\Annotation namespace for v13
v13-extbase-hashservice	14	deprecated	php	Extbase\\Security\\Cryptography\\HashService|GeneralUtility::hmac\(	Use TYPO3\CMS\Core\Crypto\HashService with a mandatory additional secret
v13-configurationmanager-contentobject	13	removed	php	->(getContentObject|setContentObject)\(|->(setLanguageUid|getLanguageUid|setLanguageOverlayMode|getLanguageOverlayMode)\(	Use request attribute currentContentObject; setLanguageAspect() on query settings
v13-registertypeconverter	13	removed	php	registerTypeConverter\(	Register type converters in Services.yaml with tag extbase.type_converter
v13-validator-shorthand	14	deprecated	php	TYPO3\.CMS\.Extbase:|'errorMessage' *=>	Use validator FQCN or core alias; rename errorMessage option to message
v13-querybuilder-dbal4	13	removed	php	->execute\(\)|->add\( *'(select|where|having|orderBy|groupBy)'|->resetQueryParts?\(|->getQueryParts?\(	Use executeQuery()/executeStatement(), direct setters, resetWhere()/resetOrderBy()
v13-expressionbuilder-dbal4	13	removed	php	expr\(\)->(andX|orX)\(|\\?PDO::PARAM_|->lastInsertId\( *'	Use expr()->and()/or(), Connection::PARAM_* and lastInsertId() without args
v13-module-registration	13	removed	php	ExtensionManagementUtility::addModule\(|ExtensionUtility::registerModule\(|addNavigationComponent\(|insertModuleFunction\(	Register modules in Configuration/Backend/Modules.php and routes in Routes.php
v13-moduletemplate-api	13	removed	php	->(setContent|renderContent|getView|registerModuleMenu|getDynamicTabMenu)\(	Use ModuleTemplateFactory->create($request), assign() and renderResponse('Template')
v13-requirejs	13	removed	php	loadRequireJs(Module)?\(|forRequireJS\(|requireJsModules|RequireJsModuleInterface	Ship ES modules via Configuration/JavaScriptModules.php and loadJavaScriptModule()
v13-controller-attribute	14	deprecated	php	Backend\\Attribute\\Controller|#\[Controller]	Use Symfony #[AsController]
v13-icon-api	14	deprecated	php	makeInstance\( *\\?(TYPO3\\CMS\\Core\\Imaging\\)?IconRegistry::class|Icon::SIZE_(SMALL|DEFAULT|MEDIUM|LARGE|MEGA)|Type\\Icon\\IconState	Register icons in Configuration/Icons.php; use IconSize / Imaging\IconState enums
v13-enumeration	14	deprecated	php	extends +\\?(TYPO3\\CMS\\Core\\Type\\)?Enumeration|Resource\\DuplicationBehavior::|VersionState::cast\(|FILETYPE_(IMAGE|TEXT|AUDIO|VIDEO|APPLICATION|UNKNOWN)	Replace Enumeration subclasses and constant classes with native backed enums
v13-flashmessage-severity	13	removed	php	(AbstractMessage|FlashMessage)::(OK|INFO|NOTICE|WARNING|ERROR)|FormProtectionFactory::get\(	Use ContextualFeedbackSeverity enum; FormProtectionFactory->createFromRequest()
v14-platform-constraints	14	breaking	php	'typo3' *=> *'1[0-3]\.[0-9.]+-1[0-3]\.|"typo3/cms-[a-z-]+": *"\^1[0-3]\.[0-9]+"	Require PHP ^8.2 and typo3/cms-core ^14.3 (or ^13.4 || ^14.3)
v14-composer-json-required	15	deprecated	php	\$EM_CONF\[	composer.json with type typo3-cms-extension and extra.typo3/cms.extension-key is mandatory; add version + providesPackages; ext_emconf.php deprecated
v14-ext-tables-php	15	deprecated	php	addFieldsToUserSettings\(|TYPO3_USER_SETTINGS.]\[.columns|PageDoktypeRegistry::class\)->add\(	Move ext_tables.php content to Modules.php / Routes.php / TCA Overrides (addUserSetting, allowedRecordTypes)
v14-tsfe-removed	14	removed	php	\$GLOBALS\[.TSFE.]|getTypoScriptFrontendController\(|frontend\.controller	Use request attributes; frontend.controller and getTypoScriptFrontendController() are gone
v14-additional-header-data	14	removed	php	additional(Header|Footer)Data	Use PageRenderer->addHeaderData() / addFooterData()
v14-ts-condition-gettsfe	14	removed	typoscript,tsconfig	getTSFE\(\)	Use request?.getPageArguments()?.getPageId() and other request/page/site variables
v14-asallowedcallable	14	breaking	typoscript,tsconfig	(userFunc|preUserFunc|postUserFunc|postUserFuncInt|renderFunc) *[=<]	Mark every TypoScript/TSconfig userFunc/renderFunc target with #[AsAllowedCallable]
